# sections
Technology
Trading
# rows
Technology	Software Engineer - Entry Level 2027 @ Chicago, Illinois	Type=Full-Time; URL=https://jobs.lever.co/belvederetrading/2f6480e5-7bf1-4c41-b3b5-3c7404d95b5f
Technology	Software Engineer Intern - Summer 2027 @ Chicago, Illinois	Type=Intern; URL=https://jobs.lever.co/belvederetrading/10746b3d-1760-4573-9b63-b93f5a5e4fc0
Trading	Quantitative Trader - Entry Level 2027 @ Chicago, Illinois	Type=Full-Time; URL=https://jobs.lever.co/belvederetrading/34369a5c-55c0-4e9f-9d2e-4f21b9418bee
Trading	Quantitative Trading Intern - Summer 2027 @ Chicago, Illinois	Type=Intern; URL=https://jobs.lever.co/belvederetrading/cbde47db-c60b-4339-a8f4-a8e4f30505ab
Trading	Quantitative Trading Intern - Winter Quarter 2027 @ Chicago, Illinois	Type=Intern; URL=https://jobs.lever.co/belvederetrading/8f06f221-8777-4a4d-b035-40882db5f4a0
