# sections
AI Engineering
GTM Internship Chicago
IT - Core Dev Internship Chicago
Project Management
# rows
AI Engineering	AI Engineer Internship - Summer 2027 @ Chicago Office	URL=https://job-boards.greenhouse.io/genevatrading/jobs/5240107007
GTM Internship Chicago	Quantitative Trading Internship – Summer 2027 @ Chicago Office	URL=https://job-boards.greenhouse.io/genevatrading/jobs/5232641007
IT - Core Dev Internship Chicago	C++ Developer (Intern) @ Chicago Office	URL=https://job-boards.greenhouse.io/genevatrading/jobs/5242063007
Project Management	PMO Data Engineering Intern @ Chicago Office	URL=https://job-boards.greenhouse.io/genevatrading/jobs/5242180007
