# sections
Externships / Insight Series
Fellowships
Internship-Matching Fellowships
Internships
Special Programs & Resources
Winternships
# rows
Fellowships	[MLH Fellowship](https://fellowship.mlh.io/)	Name=[MLH Fellowship](https://fellowship.mlh.io/); Status/Open Date=✅ Open year-round; Year=All student; Note=Available for Spring, Summer, and Fall. Stipend available. Guaranteed interview for MLH hackathon winners
Fellowships	[Microsoft New Techs](https://newtechnologists.com/)	Name=[Microsoft New Techs](https://newtechnologists.com/); Status/Open Date=?; Year=Freshman, Sophomore; Note=7-week hands-on training program. Mentorship from Microsoft senior staffs
Fellowships	[Outreachy](https://www.outreachy.org/)	Name=[Outreachy](https://www.outreachy.org/); Status/Open Date=mid-January; Year=All Student; Note=Match students to an open-source project. Stipend available
Fellowships	[SEO Tech Developer](https://tech.seo-usa.org/)	Name=[SEO Tech Developer](https://tech.seo-usa.org/); Status/Open Date=?; Year=Sophomore; Note=6-week immersion program + interview prep and training (Freshman can apply to the self-paced academy program)
Fellowships	[Salesforce Futureforce Tech Launchpad](https://info.codepath.org/futureforce-tech-launchpad-salesforce-and-codepath)	Name=[Salesforce Futureforce Tech Launchpad](https://info.codepath.org/futureforce-tech-launchpad-salesforce-and-codepath); Status/Open Date=?; Year=Sophomore; Note=Paid pre-internship where you're taught web development
Fellowships	[Two Sigma College Mentor Connect](https://www.twosigma.com/careers)	Name=[Two Sigma College Mentor Connect](https://www.twosigma.com/careers); Status/Open Date=?; Year=Freshman; Note=Pair with an employee to contribute to open source projects (part-time)
Fellowships	[Uber career prep fellowship](https://www.uber.com/us/en/careers/careerprep/)	Name=[Uber career prep fellowship](https://www.uber.com/us/en/careers/careerprep/); Status/Open Date=?; Year=Freshman, Sophomore; Note=6-month SWE learning & mentoring program
Fellowships	[Year Up](https://www.yearup.org/students)	Name=[Year Up](https://www.yearup.org/students); Status/Open Date=✅ Open year-round; Year=All student; Note=Free hybrid training program. Get matched to an internship after training
Internship-Matching Fellowships	[8VC Fellowship](https://www.8vc.com/fellowships)	Name=[8VC Fellowship](https://www.8vc.com/fellowships); Status/Open Date=?; Year=All student; Note=Fellowship open to CS & Design majors. Register interest [here](https://8vc.typeform.com/fellowinterest?typeform-source=www.8vc.com)
Internship-Matching Fellowships	[Code2040 Fellows](https://www.code2040.org/)	Name=[Code2040 Fellows](https://www.code2040.org/); Status/Open Date=?; Year=All student
Internship-Matching Fellowships	[Coding it Forward’s Fellowship](https://www.codingitforward.com/fellowship)	Name=[Coding it Forward’s Fellowship](https://www.codingitforward.com/fellowship); Status/Open Date=Open 10/15; Year=All student; Note=Connecting students in tech to government offices
Internship-Matching Fellowships	[Emma Bowen Foundation Fellowship](https://www.emmabowenfoundation.org/apply)	Name=[Emma Bowen Foundation Fellowship](https://www.emmabowenfoundation.org/apply); Status/Open Date=✅ Open; Year=All student; Note=Match to fall/summer/spring internships. Available for students in CS, Business, Journalism, etc.
Internship-Matching Fellowships	[GGV NextGen Fellowship](https://www.ggvc.com/ggv-nextgen-fellow/)	Name=[GGV NextGen Fellowship](https://www.ggvc.com/ggv-nextgen-fellow/); Status/Open Date=?; Year=All student
