# sections
CS Mentorship
CS Research
CS Research Experience Undergraduates (REU)
CS Scholarships
CS conferences and scholarships
CS exploratory programs
CS fellowships
CS internship alternative
CS underclassmen internships
Coding interview resources
Finance and consulting exploratory programs
For rising seniors and seniors
Other stuff
Part-time internships
# rows
CS Research Experience Undergraduates (REU)	[Research Experience for Undergraduates Repo](https://github.com/prabhupradhan/reu)	Name=[Research Experience for Undergraduates Repo](https://github.com/prabhupradhan/reu); Description=List of opportunities available to Undergraduate student in engineering sciences.; Approximate Deadline=N/A
CS Scholarships	[Activision Blizzard King Aspiring Women* in Games Scholarship](https://careers.activisionblizzard.com/abkaspiringwomen)	Name=[Activision Blizzard King Aspiring Women* in Games Scholarship](https://careers.activisionblizzard.com/abkaspiringwomen); Description=This scholarship will give you the opportunity to virtually attend the 2021 Game Developers Conference (GDC). By securing this scholarship you also will receive: passes to attend GDC with us, exclusive networking, learning and development opportunities and technology equipment to enhance your studies! Application review and interview.; Approximate Deadline=November
CS Scholarships	[Adobe Research Women-in-Technology Scholarship](https://research.adobe.com/scholarship/)	Name=[Adobe Research Women-in-Technology Scholarship](https://research.adobe.com/scholarship/); Description=The Adobe Research Women-in-Technology Scholarship recognizes outstanding female undergraduate and master’s students studying artificial intelligence/machine learning, data science, computer science or mobile/web development at North American universities (including Canada and Mexico).; Approximate Deadline=Not sure
CS Scholarships	[Apple Pathways Academy](https://programs.applyists.com/applepathwaysacademy/)	Name=[Apple Pathways Academy](https://programs.applyists.com/applepathwaysacademy/); Description=The Apple Pathways Academy is a community of learning and discovery targeting high-performing Black, Hispanic/Latinx, and Indigenous sophomores majoring in computer science and engineering. Current sophomores, 15k/year.; Approximate Deadline=Feb
CS Scholarships	[Generation Google Scholarship](https://buildyourfuture.withgoogle.com/scholarships/generation-google-scholarship/)	Name=[Generation Google Scholarship](https://buildyourfuture.withgoogle.com/scholarships/generation-google-scholarship/); Description=Selected students will receive 10,000 USD (for those studying in the US). Scholarships will be awarded based on the strength of each candidate's impact on diversity, demonstrated leadership, and academic background.; Approximate Deadline=Fall
CS Scholarships	[Palantir Future Scholarship](https://www.palantir.com/students/scholarship/future/)	Name=[Palantir Future Scholarship](https://www.palantir.com/students/scholarship/future/); Description=This year, 10 scholarship recipients will be chosen and invited to visit our headquarters in Palo Alto for a full-day, all-expenses paid developmental workshop. Programming will include professional development sessions, breakouts with our engineers, and some fun social activities! All recipients are awarded grants of $7,000 to support their education.; Approximate Deadline=March
CS Scholarships	[Palantir Women in Tech Scholarship ](https://www.palantir.com/students/scholarship/wit-north-america/)	Name=[Palantir Women in Tech Scholarship ](https://www.palantir.com/students/scholarship/wit-north-america/); Description=This year, 10 scholarship recipients will be chosen and invited to visit our Washington, D.C. office for a full-day, all-expenses paid developmental workshop. Programming will include professional development sessions, breakouts with our engineers, and some fun social activities! All recipients are awarded $7,000 to support their education.; Approximate Deadline=March
CS Scholarships	[Quip Diversity Scholarship](https://quip.com/blog/2020-quip-diversity-scholarship)	Name=[Quip Diversity Scholarship](https://quip.com/blog/2020-quip-diversity-scholarship); Description=The Quip team will review applications, choose winners and runners-up, and then invite them to a full day of learning and mentorship.* Each scholarship winner will receive $5,000 and each runner-up will receive $1,000 toward their education.; Approximate Deadline=June
CS Scholarships	[Two Sigma Undergraduate Scholarship](https://www.twosigma.com/community/academic-partnerships/undergraduate/scholarships/)	Name=[Two Sigma Undergraduate Scholarship](https://www.twosigma.com/community/academic-partnerships/undergraduate/scholarships/); Description=Two Sigma's Undergraduate Scholarship is open to all undergraduate students who are expanding frontiers in a STEM field such as statistics, applied mathematics, computer science, and physics.; Approximate Deadline=November
CS Scholarships	[VMware Scholarships](https://careers.vmware.com/scholarships)	Name=[VMware Scholarships](https://careers.vmware.com/scholarships); Description=The VMware Achieve Scholarship offers a one-time monetary award up to $10,000 USD for tuition and fees to a woman studying at a university in the United States. The VMware Rise Scholarship offers a one-time monetary award of $5,000 USD for tuition and fees to two students coming from underrepresented communities in the United States.; Approximate Deadline=May
