# sections
CS Mentorship
CS Research
CS Research Experience Undergraduates (REU)
CS Scholarships
CS conferences and scholarships
CS exploratory programs
CS fellowships
CS internship alternative
CS underclassmen internships
Coding interview resources
Finance and consulting exploratory programs
For rising seniors and seniors
Other stuff
Part-time internships
# rows
CS underclassmen internships	[Microsoft Explore](https://careers.microsoft.com/students/us/en/usexploremicrosoftprogram)	Name=[Microsoft Explore](https://careers.microsoft.com/students/us/en/usexploremicrosoftprogram); Description=Explore Microsoft is a 12-week summer internship program specifically designed for first and second year college students. The program is rotational and allows you to gain experience in our different software engineering roles (SWE + PM). Phone interview + Onsite.; Approximate Deadline=No fixed deadline, apply early.
CS underclassmen internships	[NVIDIA Ignite Program](https://www.nvidia.com/en-us/about-nvidia/careers/university-recruiting/)	Name=[NVIDIA Ignite Program](https://www.nvidia.com/en-us/about-nvidia/careers/university-recruiting/); Description=NVIDIA Ignite takes this dedication to the next level by immersing students of historically underrepresented communities in a 12-week journey through NVIDIA’s products, culture, and ecosystem. If you’ve just started your freshman or sophomore year and love hardware, software, and research, this pre-internship program is the perfect way to kickstart your career.; Approximate Deadline=Jan
CS underclassmen internships	[New Technologists](https://newtechnologists.com)	Name=[New Technologists](https://newtechnologists.com); Description=7-week innovation academy. You’ll learn all about the product lifecycle and create a prototype solution for the modern customer. You’ll get real world experience in app development and gain hands-on training from senior staff at Microsoft. New Techs are provided with hardware/software and will receive a $8,000 stipend for their work.; Approximate Deadline=February
CS underclassmen internships	[Oracle First Year SWE internships](https://www.oracle.com/careers/students-grads/internships/)	Name=[Oracle First Year SWE internships](https://www.oracle.com/careers/students-grads/internships/); Description=Completed first year of undergraduate degree in computer science, computer engineering, electrical engineering, or related area of study; Approximate Deadline=Fall
CS underclassmen internships	[Palantir path](https://www.palantir.com/careers/students-and-early-talent)	Name=[Palantir path](https://www.palantir.com/careers/students-and-early-talent); Description=Palantir Path is an internship for sophomores and juniors who are early in their journeys as technologists. Path aims to help students bridge the gap between what you learn in school and what’s necessary to solve the real world’s ambiguous, complex problems. We especially encourage students from communities that are historically underrepresented in STEM to apply; Approximate Deadline=September
CS underclassmen internships	[SPARX Internship - ABK](https://careers.blizzard.com/global/en/earlycareers)	Name=[SPARX Internship - ABK](https://careers.blizzard.com/global/en/earlycareers); Description=We are excited for versatile and innovative students to join our team for the summer of 2023 as part of our inaugural Activision Blizzard King Sparx Program! The Sparx Program is an ABK Internship opportunity dedicated to students early in their education. This program is designed to aid students in sparking career interests and setting them up for future success in the gaming industry.; Approximate Deadline=November
CS underclassmen internships	[The Jane Street Immersion Program (JSIP) ](https://www.janestreet.com/join-jane-street/programs-and-events/jsip/)	Name=[The Jane Street Immersion Program (JSIP) ](https://www.janestreet.com/join-jane-street/programs-and-events/jsip/); Description=JSIP is for undergraduate students in their first or second year at the time of applying who have aspirations in software engineering and have also experienced barriers to access and opportunity within computer science.
CS underclassmen internships	[Two Sigma Freshman Software Engineer Internship](https://careers.twosigma.com/)	Name=[Two Sigma Freshman Software Engineer Internship](https://careers.twosigma.com/); Description=This is an exciting and challenging opportunity developed specifically for Freshmen Computer Science students. You will work with Two Sigma employees and other interns on software engineering projects, receiving technical training and mentorship to help you deliver professional software in a real-world setting.; Approximate Deadline=Early december
CS underclassmen internships	[Uber STAR](https://jobs.uber.com/en/teams/emerging-talent/)	Name=[Uber STAR](https://jobs.uber.com/en/teams/emerging-talent/); Description=The Summer Technology cAreer Readiness Program (STAR) at Uber is a 12-week paid internship for undergraduate freshman and rising sophomores. Students from all schools, and students who identify with a group that is historically underrepresented in the technology industry, including but not limited to Black, Hispanic, Native American, students with disabilities, veterans are encouraged to apply.; Approximate Deadline=October
CS underclassmen internships	[Visa Sophomore Internship Program](https://www.visa.com/careers/)	Name=[Visa Sophomore Internship Program](https://www.visa.com/careers/); Description=This program is aimed at helping current sophomores develop a foundation in Technology for the rest of their careers. The Sophomore Internship Experience is an 8 week hands on, immersive internship program that enables students from underrepresented communities to get to know Visa’s products, people and culture.
CS underclassmen internships	[Zillow Engineering and Leadership Program - ZEAL](https://www.zillow.com/careers/internships/)	Name=[Zillow Engineering and Leadership Program - ZEAL](https://www.zillow.com/careers/internships/); Description=Sophomores; Approximate Deadline=Fall
Coding interview resources	[Algo expert](https://www.algoexpert.io/product)	Name=[Algo expert](https://www.algoexpert.io/product); Description=Newly developed toolkit of questions. Comes with videos explaining solutions to all the problems and with a crash course on data structures and algorithms.
Coding interview resources	[CodePath Summer Interview Prep](https://www.codepath.org/courses)	Name=[CodePath Summer Interview Prep](https://www.codepath.org/courses); Description=Free and selective summer virtual course taught by professional engineers to help you ace technical interviewing and give you a preview of real-world software topics in industry. This course prepares you for solving challenging algorithm problems in real whiteboard and coding interviews at top companies. Includes lectures, labs, mock interview practice, and info sessions from industry experts. Deadline to apply: May.
Coding interview resources	[Cracking the Coding Interview](http://www.crackingthecodinginterview.com)	Name=[Cracking the Coding Interview](http://www.crackingthecodinginterview.com); Description=Book with good resources. The Career Center has one that you can borrow
Coding interview resources	[Hackerrank](https://www.hackerrank.com/)	Name=[Hackerrank](https://www.hackerrank.com/); Description=HackerRank is the market-leading technical assessment and remote interview solution for hiring developers. There are tons of questions and timed tests to help you practice.
Coding interview resources	[Interview Cake](https://www.interviewcake.com)	Name=[Interview Cake](https://www.interviewcake.com); Description=Good Data Structures articles, you can get 3 weeks free with the Github Student Developer Pack
Coding interview resources	[Leetcode](https://leetcode.com)	Name=[Leetcode](https://leetcode.com); Description=LeetCode is the best platform to help you enhance your skills, expand your knowledge and prepare for technical interviews. LeetCode free is enough.
Finance and consulting exploratory programs	Abercrombie & Fitch Sophomore Summit	Name=Abercrombie & Fitch Sophomore Summit; Description=The Sophomore Summit provides a unique opportunity to explore a variety of internships and full-time career paths in corporate retail at A&F Co. The Summit will bring students from across the country together to learn about our business, hear from former interns, interact with senior level leaders and team up to complete a hands-on case study that brings our roles to life. The event will kick off virtually, after which our teams will travel to universities across the country to see Case Study presentations live.; Approximate Deadline=October
Finance and consulting exploratory programs	Bain Capital's Women Investors of Tomorrow Summit	Name=Bain Capital's Women Investors of Tomorrow Summit; Description=Bain Capital's Women Investors of Tomorrow Summit is an exciting program offering sophomore women a unique opportunity to gain exposure to the alternative asset industry. Selected participants will travel to Bain Capital’s Boston office* for an intensive half-day workshop and networking dinner. Sophomores; Approximate Deadline=April
Finance and consulting exploratory programs	Bloomberg Women in Business Summit	Name=Bloomberg Women in Business Summit; Description=This event is open to all university students and will be a great opportunity for those interested to visit the office, learn about our products and culture, and network with female leaders across our Analytics & Sales departments. There will also be recruiters there to speak to you about full-time and internship opportunities. The day will include a light breakfast as well as lunch.; Approximate Deadline=February (?)
Finance and consulting exploratory programs	Boing BASE	Name=Boing BASE; Description=BASE brings together diverse students from across the United States and immerses them in the world of aerospace. BASE is designed for rising college junior students to engage, explore, and enrich themselves personally and professionally. Selected students will receive all-expenses-paid lodging, meals and travel to their site of selection.
Finance and consulting exploratory programs	Finance Leaders in Technology Workshop	Name=Finance Leaders in Technology Workshop; Description=Finance Leaders in Technology Workshop is a 3-day summer program held at our Microsoft Redmond Campus - sophomores.; Approximate Deadline=April
Finance and consulting exploratory programs	L'Oréal USA Diverse Future Leaders Sophomore Fellowship	Name=L'Oréal USA Diverse Future Leaders Sophomore Fellowship; Description=We aspire to develop a unique community of diverse students from across the USA and provide them access, education, and mentorship within the business world. We seek to foster a fellowship of diverse student leaders who could be our future leaders of the corporate world and beyond. We want to share our experiences and knowledge as employees of a global leader in consumer goods with the emerging leaders of tomorrow. Sophomores; Approximate Deadline=February
Finance and consulting exploratory programs	Launch@Apple First-Generation College Student Mentorship Program	Name=Launch@Apple First-Generation College Student Mentorship Program; Description=A first of its kind mentorship program for First-Generation First-Year and Sophomore students majoring in Finance, Economics, and Accounting. Opportunities for job shadowing, paid internships and externships.; Approximate Deadline=January
Finance and consulting exploratory programs	Moelis Youth Leaders Diversity Program	Name=Moelis Youth Leaders Diversity Program; Description=This hands-on and immersive program gives college sophomores an opportunity to spend the day learning about investment banking from Moelis & Company’s industry-leading bankers and a chance to network with their peers. Through case studies and discussions, students will have the opportunity to meet with senior bankers and understand how Moelis & Company’s unique, innovative, and collaborative culture has made it one of the fastest growing firms on Wall Street.; Approximate Deadline=January
Finance and consulting exploratory programs	PJT Partners Underg. Women	Name=PJT Partners Underg. Women; Description=PJT Partners Undergraduate Women’s Program is a two-day event that provides participants with the opportunity to visit our firm headquarters in New York, gain exposure to the finance industry, partner with analysts for hands-on mentoring, and receive interview training.; Approximate Deadline=February
Finance and consulting exploratory programs	RBC Sophomore insights program	Name=RBC Sophomore insights program; Description=Sophomore Insights Program aims to provide a supportive platform for early insights, development, and mentorship to a highly selective group of sophomore students interested in pursuing a career in investment banking, corporate banking, sales & trading, research or technology through high-touch virtual and in-person development sessions, culminating in early interviews for our Summer internships.; Approximate Deadline=September
Finance and consulting exploratory programs	Two Sigma New Seekers Summit	Name=Two Sigma New Seekers Summit; Description=Quantitative finance and research summit.
Finance and consulting exploratory programs	Virtu Financial's Women's Winternship	Name=Virtu Financial's Women's Winternship; Description=This January, we will host our 3rd annual Women's Winternship. This is an exciting program that offers women students an opportunity to learn about our firm, the basics of trading and a view of what Virtu does in the global financial marketplace. You’ll also get insight into a career in financial services through engaging panels and networking events with top female talent at Virtu, as well as insight into the different roles that exist within our firm.; Approximate Deadline=August
Finance and consulting exploratory programs	[Accenture Student Empowerment Program](https://www.accenture.com/us-en/careers/local/accenture-student-empowerment-program)	Name=[Accenture Student Empowerment Program](https://www.accenture.com/us-en/careers/local/accenture-student-empowerment-program); Description=The Accenture Student Empowerment Program (ASEP) is a mentorship program that inspires the best and brightest, diverse community of college freshmen and sophomores to explore and learn about a career in consulting at Accenture. Freshman and Sophomores; Approximate Deadline=April
Finance and consulting exploratory programs	[Barclays Sophomore Springboard](https://joinus.barclays/americas/diversity-programs-career/sophomore-springboard-diversity-program/)	Name=[Barclays Sophomore Springboard](https://joinus.barclays/americas/diversity-programs-career/sophomore-springboard-diversity-program/); Description=We will offer talented, motivated undergraduate sophomores an opportunity to visit our New York office and explore career opportunities in the following areas: Banking, Sales and Trading. During the program, you will take part in business workshops, as well as specialized soft skill training and interview preparation. There will be plenty of opportunities to network with Barclays employees and your fellow program participants.; Approximate Deadline=January
Finance and consulting exploratory programs	[Blackrock Find Your Future Forum - Tech](https://blackrock.tal.net/vx/mobile-1/brand-3/candidate/so/pm/1/pl/2/opp/3806-2020-Find-Your-Future-Forum/en-GB)	Name=[Blackrock Find Your Future Forum - Tech](https://blackrock.tal.net/vx/mobile-1/brand-3/candidate/so/pm/1/pl/2/opp/3806-2020-Find-Your-Future-Forum/en-GB); Description=Learn how to jump start your career at BlackRock’s one-day educational program for college sophomores.; Approximate Deadline=February
Finance and consulting exploratory programs	[Blackstone Diverse Leaders Program](https://www.blackstone.com/careers/diversity-inclusion)	Name=[Blackstone Diverse Leaders Program](https://www.blackstone.com/careers/diversity-inclusion); Description=The Blackstone Diverse Leaders Program works with groups that have historically been underrepresented in financial services. Through annual events in New York and London, this program aims to show students what it's like to have a career in finance and to work at Blackstone. It offers seminars, resume and interview workshops, technical training, networking events and ongoing mentorship.; Approximate Deadline=January
Finance and consulting exploratory programs	[Blackstone Future Women Innovators Program](https://www.blackstone.com/careers/diversity-inclusion)	Name=[Blackstone Future Women Innovators Program](https://www.blackstone.com/careers/diversity-inclusion); Description=Blackstone’s Future Women Innovators Program is a unique 1.5 day program for software developers, giving participants early exposure to technology and business through interactive information seminars, networking, and skill-building sessions. Program participants will have the opportunity to interact with technologists and recruiting professionals at Blackstone in New York. The Blackstone Future Women Innovators Program introduces the knowledge, training, and skills necessary for a well-guided career path in technology.; Approximate Deadline=January
Finance and consulting exploratory programs	[Blackstone Future Women Leaders](https://www.blackstone.com/careers/diversity-inclusion)	Name=[Blackstone Future Women Leaders](https://www.blackstone.com/careers/diversity-inclusion); Description=The Blackstone Future Women Leaders Program brings a high-achieving group of sophomore women to Blackstone's New York and London offices each spring to give participants early exposure to finance and business through interactive seminars, networking and skill-building sessions.; Approximate Deadline=December
Finance and consulting exploratory programs	[Bridge to consulting](https://www.bcg.com/en-us/careers/working-at-bcg/bridge-to-consulting.aspx)	Name=[Bridge to consulting](https://www.bcg.com/en-us/careers/working-at-bcg/bridge-to-consulting.aspx); Description=The Bridge to Consulting Workshop and Externship Program allows freshman and sophomore students from underrepresented minority groups, specifically Black/African American, Hispanic/Latino, and Native American/Alaska Native to experience BC; Approximate Deadline=March
Finance and consulting exploratory programs	[Building Entrepreneurial Leaders Program](https://www.bain.com/careers/bel/)	Name=[Building Entrepreneurial Leaders Program](https://www.bain.com/careers/bel/); Description=The Building Entrepreneurial Leaders (BEL) Program is a highly selective program focused on giving top students of Black/African American, Hispanic/Latinx and American Indian descent the opportunity to strengthen their business and leadership skill set while gaining exposure to consulting. The BEL program is available in most US offices and Toronto.
Finance and consulting exploratory programs	[City Early ID](http://careers.citi.com/Careers/index/#/universityprogram)	Name=[City Early ID](http://careers.citi.com/Careers/index/#/universityprogram); Description=Citi Diversity Recruiting has developed the Early ID Program focused on identifying, mentoring and hiring top diverse talent for our Summer Analyst Programs across the firm. Join Citi and develop skills for global leadership with training and experiential learning opportunities in an inclusive culture of fairness.; Approximate Deadline=November
Finance and consulting exploratory programs	[Deloitte National Leadership Conference](https://www2.deloitte.com/us/en/pages/careers/articles/join-deloitte-deloitte-national-leadership-conference.html)	Name=[Deloitte National Leadership Conference](https://www2.deloitte.com/us/en/pages/careers/articles/join-deloitte-deloitte-national-leadership-conference.html); Description=This multi-day conference brings together select students from colleges and universities across the country and professionals from the Deloitte US Firms to participate in leadership development workshops and networking activities at Deloitte University. You'll hone your leadership skills, while also sharing what it means to be a part of Deloitte, through hands-on activities promoting teamwork, personal branding, the client experience, and networking. Sophomores and Juniors.
Finance and consulting exploratory programs	[Develop with Deutsche Bank](https://www.db.com/careers/en/grad/role-search/programs/develop.html)	Name=[Develop with Deutsche Bank](https://www.db.com/careers/en/grad/role-search/programs/develop.html); Description=Held at our New York City headquarters, this one-day event is specifically designed for diverse sophomore students excited to learn and grow. You’ll hear from recent graduates, discover how broad our opportunities for success are and have the chance to network with representatives from various divisions. You'll also take part in a resume workshop to learn how to best showcase your skills. See the impact you could make on Deutsche Bank, and in the industry.; Approximate Deadline=February
Finance and consulting exploratory programs	[Evercore’s Sophomore Diversity Seminar](https://evercore.tal.net/vx/mobile-0/appcentre-ext/brand-4/candidate/so/pm/1/pl/1/opp/567-Evercore-Sophomore-Diversity-Seminar-Investment-Banking-Simulation-Friday-March-13-2020/en-GB)	Name=[Evercore’s Sophomore Diversity Seminar](https://evercore.tal.net/vx/mobile-0/appcentre-ext/brand-4/candidate/so/pm/1/pl/1/opp/567-Evercore-Sophomore-Diversity-Seminar-Investment-Banking-Simulation-Friday-March-13-2020/en-GB); Description=Evercore is hosting an invite-only Sophomore Diversity Seminar designed to provide highly motivated undergraduates with an inside look into investment banking through a real-life simulation. We are seeking intelligent, ambitious sophomores with the desire to learn about working in finance.; Approximate Deadline=January
Finance and consulting exploratory programs	[Freshman Diversity Leadership Academy - McKinsey](https://www.mckinsey.com/careers/students/freshman-diversity-leadership-academy/overview)	Name=[Freshman Diversity Leadership Academy - McKinsey](https://www.mckinsey.com/careers/students/freshman-diversity-leadership-academy/overview); Description=FDLA is an exclusive two-day workshop during which attendees explore the potential of a career in consulting and refine their problem-solving and leadership skills. Through interactive activities, case workshops, panels, and networking events, attendees will learn about our work, culture, and people. Interview spot guarantee for SDLI program.; Approximate Deadline=February
Finance and consulting exploratory programs	[Girls Who Invest Summer Intensive Program](http://www.girlswhoinvest.org/sip)	Name=[Girls Who Invest Summer Intensive Program](http://www.girlswhoinvest.org/sip); Description=GWI’s ten-week Summer Intensive Program combines academic instruction and real-world experience. It is intensive, immersive and an incredible opportunity to explore a career in finance and investment as part of a supportive community. Sophomores.; Approximate Deadline=September
Finance and consulting exploratory programs	[Goldman Sachs Diversity Programs - Several](https://www.goldmansachs.com/careers/students/programs/)	Name=[Goldman Sachs Diversity Programs - Several](https://www.goldmansachs.com/careers/students/programs/); Description=Goldman Sachs Undergraduate Camp (identify as black, Hispanic/Latino, Native American, and/or first-generation college students), Goldman Sachs Pride Summit (LGBTQ+ students), Hispanic Latino Leadership Summit (juniors), Women's Leadership Camp. Most are freshman & sophomore.; Approximate Deadline=November
Finance and consulting exploratory programs	[JP Morgan Sophomore Edge](https://careers.jpmorgan.com/us/en/students/programs/sophomore-development-program?search=&tags=location__Americas__UnitedStatesofAmerica)	Name=[JP Morgan Sophomore Edge](https://careers.jpmorgan.com/us/en/students/programs/sophomore-development-program?search=&tags=location__Americas__UnitedStatesofAmerica); Description=Sophomore Edge is a program that provides an immersive training experience into the world of banking for historically underrepresented segments in the field of financial services, specifically Black, Hispanic and Native American students. Talented students will be exposed to the finance industry and different career paths through a series of in-person events and virtual sessions.; Approximate Deadline=January
Finance and consulting exploratory programs	[Jefferies Inspiring Women for finance](https://jefferies.tal.net/vx/mobile-0/appcentre-ext/brand-4/candidate/so/pm/1/pl/2/opp/66-Inspiring-Women-for-Finance-Symposium/en-GB)	Name=[Jefferies Inspiring Women for finance](https://jefferies.tal.net/vx/mobile-0/appcentre-ext/brand-4/candidate/so/pm/1/pl/2/opp/66-Inspiring-Women-for-Finance-Symposium/en-GB); Description=Jefferies is excited to invite sophomore women from all college majors to apply to spend an immersive day with us. We will provide the opportunity to meet professionals across divisions and experience a day in the life at a Global Investment Bank.; Approximate Deadline=January
Finance and consulting exploratory programs	[Jopwell I+D](https://www.jopwell.com/events/identifyanddevelop)	Name=[Jopwell I+D](https://www.jopwell.com/events/identifyanddevelop); Description=An invitation-only two-day career development seminar for juniors and sophomores. Presented by Jopwell, the leading career development platform for Black, Latinx and Native American students. Our mission is to identify your career goals and develop an action plan to secure job opportunities.
Finance and consulting exploratory programs	[Lazard Sophomore Women Event](https://www.lazard.com/careers/2019-sophomore-diversity-day/)	Name=[Lazard Sophomore Women Event](https://www.lazard.com/careers/2019-sophomore-diversity-day/); Description=This spring, Lazard will be hosting Sophomore Diversity Events for undergraduate students. The events will provide a first-hand look at what it's like to work at a global financial services firm, and give students the opportunity to learn more about Lazard's business and culture. The event is by invitation only and open to undergraduate Black, Hispanic and Native American students in their sophomore year currently studying at a college/university in U.S.; Approximate Deadline=February
Finance and consulting exploratory programs	[Nomura sophomore diversity program](https://nomuracampus.tal.net/vx/mobile-0/appcentre-ext/brand-4/candidate/so/pm/1/pl/2/opp/338-2020-Explore-Nomura-Sophomore-Diversity-Program/en-GB)	Name=[Nomura sophomore diversity program](https://nomuracampus.tal.net/vx/mobile-0/appcentre-ext/brand-4/candidate/so/pm/1/pl/2/opp/338-2020-Explore-Nomura-Sophomore-Diversity-Program/en-GB); Description=Explore Nomura is an Early Insights program designed to provide diverse sophomores with broad exposure to careers in Investment Banking, Global Markets and Corporate Infrastructure.; Approximate Deadline=January
Finance and consulting exploratory programs	[RBC Women Advisory program](https://jobs.rbc.com/ca/en/job/260137/RBC-Capital-Markets-US-Women-s-Advisory-Program-2020-2021)	Name=[RBC Women Advisory program](https://jobs.rbc.com/ca/en/job/260137/RBC-Capital-Markets-US-Women-s-Advisory-Program-2020-2021); Description=The 2020-2021 RBC Capital Markets US Women's Advisory Program is a selective, industry-leading four-month early insight and professional development program for outstanding female sophomore students interested in pursuing a career in finance. The program explores finance careers with our award-winning businesses in Global Banking and Global Markets; Approximate Deadline=September
Finance and consulting exploratory programs	[Rising Leaders Koch](https://www.kochcollegerecruiting.com/rising_leaders/)	Name=[Rising Leaders Koch](https://www.kochcollegerecruiting.com/rising_leaders/); Description=Elevate your future at this exclusive event where you’ll apply and interview for 2021 internships, network with other students and explore career opportunities while finding your fit in our unique culture.; Approximate Deadline=January
Finance and consulting exploratory programs	[The Advancing Black Pathways Fellowship Program](https://www.jpmorganchase.com/impact/people/advancing-black-pathways/fellowship-program)	Name=[The Advancing Black Pathways Fellowship Program](https://www.jpmorganchase.com/impact/people/advancing-black-pathways/fellowship-program); Description=The Advancing Black Pathways (ABP) Fellowship Program offers a six-week paid; full-time summer fellowship held in select JPMorgan Chase offices. The ABP Fellowship Program is designed to attract undergraduate sophomores who are interested in early exposure to financial services careers and committed to the advancement of individuals from underrepresented groups in this industry.; Approximate Deadline=March
Finance and consulting exploratory programs	[Trading Business Course - New York - Flow traders](https://www.flowtraders.com/careers/events/trading-business-course-new-york)	Name=[Trading Business Course - New York - Flow traders](https://www.flowtraders.com/careers/events/trading-business-course-new-york); Description=Interested in pursuing a career in trading? Curious what it’s like to work at Flow Traders? Learn the tricks of the trade and get an exclusive inside look during our Trading Business Course hosted by our New York team in May 2021. This program is a unique opportunity to learn directly from our trading team, experience the fast-paced environment of a dynamic trading floor and meet other like-minded students with a passion for financial markets.; Approximate Deadline=January
Finance and consulting exploratory programs	[UBS Tomorrow's Leaders Program](https://ubs.dejobs.org/virtual-usa/tomorrows-leaders-2020/101e618569184fe9bb4ba6a155b65a9b/job/)	Name=[UBS Tomorrow's Leaders Program](https://ubs.dejobs.org/virtual-usa/tomorrows-leaders-2020/101e618569184fe9bb4ba6a155b65a9b/job/); Description=Our Tomorrow’s Leaders Program is a virtual accelerator program where you can network with industry leaders, learn all about UBS as an employer, and explore the diverse career opportunities we offer. Freshman and sophomores; Approximate Deadline=April
Finance and consulting exploratory programs	[Vanguard EXPLORE Days](https://www.vanguardjobs.com/students-and-recent-graduates/explore-days/)	Name=[Vanguard EXPLORE Days](https://www.vanguardjobs.com/students-and-recent-graduates/explore-days/); Description=When you spend a day at one of our offices, you’ll learn more about our industry, what sets us apart and meet leaders from across our business. This is your chance to discover the many ways you can make a difference as part of our team. Fill out our form to be considered for EXPLORE based on your desired location: Charlotte, NC, Malvern, PA or Scottsdale, AZ.
For rising seniors and seniors	[AI Residency List](https://github.com/dangkhoasdc/awesome-ai-residency)	Name=[AI Residency List](https://github.com/dangkhoasdc/awesome-ai-residency); Description=Repo with AI programs; Approximate Deadline=N/A
For rising seniors and seniors	[Jane Street Internships](https://www.janestreet.com/join-jane-street/programs-and-events/internships-all-cycles/)	Name=[Jane Street Internships](https://www.janestreet.com/join-jane-street/programs-and-events/internships-all-cycles/); Description=They have some internships for graduating seniors, and you can join full time right after; Approximate Deadline=Fall - Winter
For rising seniors and seniors	[Meta AI residency](https://ai.facebook.com/join-us/residency-program/)	Name=[Meta AI residency](https://ai.facebook.com/join-us/residency-program/); Description=The Artificial Intelligence (AI) Residency Program is a one-year research training position designed to give you hands-on experience with artificial intelligence research while working in Meta AI. This program is ideal for those interested in applying to PhD programs, publishing research papers, and maximizing their experience before applying or attending a graduate program in the designated field.; Approximate Deadline=January
For rising seniors and seniors	[Netflix Formation program](https://formation.dev/partners/netflix)	Name=[Netflix Formation program](https://formation.dev/partners/netflix); Description=Netflix has teamed up with Formation to bring rising seniors personalized training and world-class mentorship from the best engineers in the tech industry. This is a free program, and participants who demonstrate exceptional technical ability have the opportunity to interview for a SWE New Grad role at Netflix.; Approximate Deadline=March
For rising seniors and seniors	[Snap Up Apprentice](https://careers.snap.com/emerging-talent)	Name=[Snap Up Apprentice](https://careers.snap.com/emerging-talent); Description=We’re looking for Apprentices to join an Engineering program at Snap Inc. called Snap Up. Snap Up is a full time 11 month engineering rotational program created by Snap to provide career development opportunities to new graduates with limited or no technical software engineering work experience.; Approximate Deadline=February
For rising seniors and seniors	[Spotify](https://www.lifeatspotify.com/students?l=remote-americas&l=new-york&j=internship&j=early-career-program)	Name=[Spotify](https://www.lifeatspotify.com/students?l=remote-americas&l=new-york&j=internship&j=early-career-program); Description=They accept graduating seniors for most of their internships; Approximate Deadline=March
Other stuff	[CS PhD Applications fee waivers](https://github.com/KaiserWhoLearns/CS-PhD-Application-fee-waivers)	Name=[CS PhD Applications fee waivers](https://github.com/KaiserWhoLearns/CS-PhD-Application-fee-waivers); Description=Repo of CS PhD Application Fee Waivers of schools in North America; Approximate Deadline=N/A
Other stuff	[Campus Visitations Grad School](https://mcnairscholars.com/campus-visitations/)	Name=[Campus Visitations Grad School](https://mcnairscholars.com/campus-visitations/); Description=Many graduate schools offer visitation events. These events may be paid for by the institution and offer a variety of services to assist students in applying for graduate programs.; Approximate Deadline=Check the website
Part-time internships	[Crowdstrike](https://www.crowdstrike.com/careers/university-interns/)	Name=[Crowdstrike](https://www.crowdstrike.com/careers/university-interns/); Description=I have seen a couple part-time intern postings, but for Data Analytics Intern; Approximate Deadline=?
Part-time internships	[Fox](https://www.foxcareers.com/Students/)	Name=[Fox](https://www.foxcareers.com/Students/); Description=FOX offers internships each year within all of our brands, including various divisions and departments including News, Sports and Entertainment.; Approximate Deadline=A couple month before each season
Part-time internships	[IBM](https://www.ibm.com/careers/us-en/early-career/internship/)	Name=[IBM](https://www.ibm.com/careers/us-en/early-career/internship/); Description=Being an intern at IBM is no small feat. From day one, you'll be involved in awesome projects, all while making big contributions. Are you ready?; Approximate Deadline=?
Part-time internships	[Jabra GN](https://www.jabra.com/intern)	Name=[Jabra GN](https://www.jabra.com/intern); Description=We’re Jabra — a global brand with a serious passion for sound. Thanks to our expertise in consumer, professional and medical audio technology, our passion is backed up by unrivaled knowledge of the human ear.; Approximate Deadline=?
Part-time internships	[NBCUniversal](https://www.nbcunicareers.com/internships)	Name=[NBCUniversal](https://www.nbcunicareers.com/internships); Description=The NBCUniversal Internship Program allows students to unlock their potential by contributing to big projects in meaningful ways that matter. To thrive as an NBCU intern, you are someone who is ready to bring their passion for media, entertainment, and technology along with their desire to learn each day. Part time: Fall and Spring, 16 - 24 h/week. SWE and other engineering roles; Approximate Deadline=3 months before each season
Part-time internships	[Pandora](https://www.pandora.com/careers/)	Name=[Pandora](https://www.pandora.com/careers/); Description=SiriusXM and Pandora have joined together to create the leading audio entertainment company in the U.S. Together, we are uniquely positioned to lead a new era of audio entertainment by delivering the most compelling subscription and ad-supported audio experiences to millions of listeners – in the car, at home and on the go.; Approximate Deadline=Check the website
Part-time internships	[Sony Pictures](https://www.sonypicturesjobs.com/internships)	Name=[Sony Pictures](https://www.sonypicturesjobs.com/internships); Description=They have some part-time Software Engineering and Data Science Internships (10 - 20h/week); Approximate Deadline=Fall for Spring internships
Part-time internships	[The Home Depot](https://careers.homedepot.com/students-internships/)	Name=[The Home Depot](https://careers.homedepot.com/students-internships/); Description=The Home Depot Internship Program is an award-winning paid 11-week internship. Our interns are challenged to complete valuable and immersive projects that directly impact the business and are part of fast-paced teams with ample opportunity to grow. Our interns are equipped with tools to establish the building blocks for their career and revolutionize the future of retail.; Approximate Deadline=A couple month before each season
Part-time internships	[Wall Street Journal](https://wsj.jobs)	Name=[Wall Street Journal](https://wsj.jobs); Description=The Wall Street Journal is the most trusted news organization in America and the best source of news and analysis for ambitious people.; Approximate Deadline=?
Part-time internships	[Warner Bros Discovery](https://careers.wbd.com/global/en/internship-opportunities)	Name=[Warner Bros Discovery](https://careers.wbd.com/global/en/internship-opportunities); Description=You provide the motivation, the will and the work ethic; we’ll provide the career opportunities and access you need to get going. Intern with us and you'll gain hands-on industry experience working alongside the best in entertainment, news and sports. Your ideas and insights really can make an impact here. SWE, Data Science, Analytics and Data Engineering roles; Approximate Deadline=2ish months before each season
