# sections
AQR
Akuna Capital
Ansatz Capital
Aquatic
Arrowstreet Capital
Belvedere Trading
Blackedge Capital
Bridgewater
Campbell and Company
Chicago Trading Company
Citadel
Citadel Securities
Cubist
DE Shaw
DRW
Five Rings
Flow Traders
G-Research
GSA Capital
Geneva Trading
HAP Capital
Headlands Tech
Hudson River Trading
IMC Trading
Jane Street
Jump Trading
Mako Trading
Marshall Wace
Maven Securities
Millenium
Old Mission
Optiver
PDT Partners
Peak6
QuantLab
Quantic
Radix Trading
Renaissance
SIG
Schonfeld
Seven Eight
Seven Research
Squarepoint
TGS
Tower Research
TransMarketGroup
TrexQuant Investments LP
Tudor Investment Group
Two Sigma
Valkyrie Trading
Vatic Labs
Virtu Financial
Voleon
Voloridge
Walleye Capital
Wolverine
WorldQuant
XTX Markets
# rows
Akuna Capital	Akuna Capital / HW	Role=HW; Links=[✅ ](https://www.akunacapital.com/careers/job/8018880/?gh_jid=8018880)
Akuna Capital	Akuna Capital / QD	Role=QD; Links=[✅ ](https://www.akunacapital.com/careers/job/8021481/?gh_jid=8021481)
Akuna Capital	Akuna Capital / QR	Role=QR; Links=[✅ ](https://www.akunacapital.com/careers/job/8036614/?gh_jid=8036614)
Akuna Capital	Akuna Capital / SWE	Role=SWE; Links=[✅ C++](https://www.akunacapital.com/careers/job/8018847/?gh_jid=8018847) [✅ Python](https://www.akunacapital.com/careers/job/8018853/?gh_jid=8018853) [✅ C# .NET](https://www.akunacapital.com/careers/job/8018886/?gh_jid=8018886) [✅ Full Stack Web](https://www.akunacapital.com/careers/job/8018893/?gh_jid=8018893) [✅ Platform](https://www.akunacapital.com/careers/job/8018856/?gh_jid=8018856)
Aquatic	Aquatic / QR	Role=QR; Links=[✅ ](https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489186002)
Aquatic	Aquatic / SWE	Role=SWE; Links=[✅ ](https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489233002)
Citadel	Citadel / QR	Role=QR; Links=[✅ PhD](https://www.citadel.com/careers/details/quantitative-researcher-phd-intern-us/)
Citadel	Citadel / QT	Role=QT; Links=[✅ ](https://www.citadel.com/careers/details/quantitative-trader-equities-quantitative-research-intern-us/)
Citadel	Citadel / SWE	Role=SWE; Links=[✅ ](https://www.citadel.com/careers/details/software-engineer-intern-us/)
Citadel Securities	Citadel Securities / HW	Role=HW; Links=[✅ FPGA](https://www.citadelsecurities.com/careers/details/fpga-engineer-intern-us/)
Citadel Securities	Citadel Securities / ML	Role=ML; Links=[✅ PhD](https://www.citadelsecurities.com/careers/details/machine-learning-researcher-phd-intern-us/)
Citadel Securities	Citadel Securities / QR	Role=QR; Links=[✅ ](https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-us/) [✅ PhD](https://www.citadelsecurities.com/careers/details/quantitative-researcher-phd-intern-us/) [✅ QR Engineer PhD](https://www.citadelsecurities.com/careers/details/quantitative-research-engineer-phd-intern-us/)
Citadel Securities	Citadel Securities / QT	Role=QT; Links=[✅ ](https://www.citadelsecurities.com/careers/details/quantitative-trader-intern-us/)
Citadel Securities	Citadel Securities / SWE	Role=SWE; Links=[✅ ](https://www.citadelsecurities.com/careers/details/software-engineer-intern-us/)
DRW	DRW / FPGA	Role=FPGA; Links=[✅ ](https://www.drw.com/work-at-drw/listings/fpga-intern-3484423)
DRW	DRW / QR	Role=QR; Links=[✅ ](https://www.drw.com/work-at-drw/listings/quantitative-research-intern-3413670)
DRW	DRW / SWE	Role=SWE; Links=[✅ ](https://www.drw.com/work-at-drw/listings/software-developer-intern-3467328)
Five Rings	Five Rings / QR	Role=QR; Links=[✅ PhD](https://job-boards.greenhouse.io/fiveringsllc/jobs/5349219008)
Five Rings	Five Rings / QT	Role=QT; Links=[✅ ](https://job-boards.greenhouse.io/fiveringsllc/jobs/5139668008)
Five Rings	Five Rings / SWE	Role=SWE; Links=[✅ ](https://job-boards.greenhouse.io/fiveringsllc/jobs/5349707008)
Flow Traders	Flow Traders / QT	Role=QT; Links=[✅ ](https://www.flowtraders.com/careers/job-description/8047166)
Hudson River Trading	Hudson River Trading / QR	Role=QR; Links=[✅ ](https://www.hudsonrivertrading.com/careers/job/?gh_jid=7964062&gh_src=f4cuomjz1us) [✅ PhD](https://www.hudsonrivertrading.com/careers/job/?gh_jid=8059837&gh_src=f4cuomjz1us)
Hudson River Trading	Hudson River Trading / SWE	Role=SWE; Links=[✅ ](https://www.hudsonrivertrading.com/careers/job/?gh_jid=8052083&gh_src=f4cuomjz1us)
IMC Trading	IMC Trading / HW	Role=HW; Links=[✅ ](https://www.imc.com/us/careers/jobs/4823945101)
IMC Trading	IMC Trading / QR	Role=QR; Links=[✅ BS/MS](https://www.imc.com/us/careers/jobs/4907399101) [✅ PhD](https://www.imc.com/us/careers/jobs/4907400101)
IMC Trading	IMC Trading / QT	Role=QT; Links=[✅ ](https://www.imc.com/us/careers/jobs/4823923101)
IMC Trading	IMC Trading / SWE	Role=SWE; Links=[✅ ](https://www.imc.com/us/careers/jobs/4823924101)
Jane Street	Jane Street / FPGA	Role=FPGA; Links=[✅ ](https://www.janestreet.com/join-jane-street/position/8624440002/)
Jane Street	Jane Street / QR	Role=QR; Links=[✅ ](https://www.janestreet.com/join-jane-street/position/8498547002/) [✅ ML](https://www.janestreet.com/join-jane-street/position/8384490002/)
Jane Street	Jane Street / QT	Role=QT; Links=[✅ ](https://www.janestreet.com/join-jane-street/position/8617344002/)
Jane Street	Jane Street / SWE	Role=SWE; Links=[✅ ](https://www.janestreet.com/join-jane-street/position/8599644002/)
Old Mission	Old Mission / SWE	Role=SWE; Links=[✅ ](https://www.oldmissioncapital.com/careers/?gh_jid=7796180003)
Optiver	Optiver / QR	Role=QR; Links=[✅ Chicago (PhD)](https://www.optiver.com/join-us/jobs/quantitative-research-and-machine-learning/chicago/quantitative-research-intern-phd-summer-2027/) [✅ Austin (PhD)](https://www.optiver.com/join-us/jobs/quantitative-research-and-machine-learning/austin/quantitative-research-intern-phd-summer-2027/)
Optiver	Optiver / QT	Role=QT; Links=[✅ ](https://www.optiver.com/join-us/jobs/institutional-sales-and-trading/chicago/quantitative-intern-summer-2027/)
Optiver	Optiver / SWE	Role=SWE; Links=[✅ Chicago](https://www.optiver.com/join-us/jobs/technology/chicago/software-engineer-intern-summer-2027-chicago/) [✅ Austin](https://www.optiver.com/join-us/jobs/technology/austin/software-engineer-intern-summer-2027-austin/)
Quantic	Quantic / QD	Role=QD; Links=[✅ ](https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679168006)
Quantic	Quantic / QR	Role=QR; Links=[✅ ](https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679173006)
SIG	SIG / QR	Role=QR; Links=[✅ Master's (Bala Cynwyd)](https://careers.sig.com/quantitative-systematic-trading-quantitative-research/jobs/10819) [✅ Master's (NYC)](https://careers.sig.com/phds-postdocs/jobs/10820) [✅ PhD (Bala Cynwyd)](https://careers.sig.com/phds-postdocs/jobs/10817) [✅ PhD (NYC)](https://careers.sig.com/phds-postdocs/jobs/10818)
SIG	SIG / QT	Role=QT; Links=[✅ Chicago](https://careers.sig.com/quantitative-trading-internships-co-ops/jobs/10849) [✅ NYC](https://careers.sig.com/quantitative-trading-internships-co-ops/jobs/10718)
SIG	SIG / SWE	Role=SWE; Links=[✅ Quantitative Strategy Developer](https://careers.sig.com/intern-co-op/jobs/10838) [✅ Trading System Engineering](https://careers.sig.com/intern-co-op-technology/jobs/10837)
Seven Research	Seven Research / QD	Role=QD; Links=[✅ ](https://job-boards.greenhouse.io/sevenresearch/jobs/4895082008)
Seven Research	Seven Research / QR	Role=QR; Links=[✅ Quant Research](https://job-boards.greenhouse.io/sevenresearch/jobs/4894946008) [✅ Deep Learning](https://job-boards.greenhouse.io/sevenresearch/jobs/4895007008)
Seven Research	Seven Research / SWE	Role=SWE; Links=[✅ ](https://job-boards.greenhouse.io/sevenresearch/jobs/4895047008)
TransMarketGroup	TransMarketGroup / DevOps/SRE	Role=DevOps/SRE; Links=[✅ ](https://job-boards.greenhouse.io/transmarketgroup/jobs/5151577007)
TransMarketGroup	TransMarketGroup / QT	Role=QT; Links=[✅ ](https://job-boards.greenhouse.io/transmarketgroup/jobs/5151569007)
Virtu Financial	Virtu Financial / QR	Role=QR; Links=[✅ PhD](https://job-boards.greenhouse.io/virtu/jobs/8624424002) [✅ Undergrad](https://job-boards.greenhouse.io/virtu/jobs/8142539002)
Voloridge	Voloridge / QD	Role=QD; Links=[✅ ](https://www.voloridge.com/jobs/voloridgeinvestmentmanagement/4224862009)
Voloridge	Voloridge / QR	Role=QR; Links=[✅ ](https://www.voloridge.com/jobs/voloridgeinvestmentmanagement/4226247009)
Voloridge	Voloridge / QR Fellowship	Role=QR Fellowship; Links=[✅ ](https://www.voloridge.com/jobs/voloridgeinvestmentmanagement/4224950009)
Walleye Capital	Walleye Capital / QR	Role=QR; Links=[✅ Volatility](https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4676334006) [✅ Data Science](https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4676587006)
Walleye Capital	Walleye Capital / SWE	Role=SWE; Links=[✅ Risk Technology](https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679224006) [✅ Technology](https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4681002006)
