# sections
Convertible Arbitrage
Quantic
Single Stock - Volatility
# rows
Convertible Arbitrage	Convertible Arbitrage Analyst Intern (Winter 2027) @ Middleton, MA	URL=https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4711798006
Quantic	Quantic - PhD Quantitative Researcher Intern (Summer 2027) @ Boston, MA	URL=https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679184006
Quantic	Quantic – Quantitative Developer Intern (Summer 2027) @ Boston, MA	URL=https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679168006
Single Stock - Volatility	Equity Volatility Quant Researcher Intern (Summer 2027) @ Miami, FL	URL=https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4676334006
