# sections
Research
Technology
# rows
Research	Quantitative Researcher, Intern (Summer 2027) @ Chicago; London	URL=https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489186002
Technology	Software Engineer, Intern (Summer 2027) @ Chicago	URL=https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489233002
