# sections
Engineering
Quantitative Research
# rows
Engineering	Core Developer - Intern @ New York	Type=Intern; URL=https://job-boards.greenhouse.io/sevenresearch/jobs/4895047008
Quantitative Research	Algorithmic Developer - Intern @ New York	Type=Intern; URL=https://job-boards.greenhouse.io/sevenresearch/jobs/4895082008
Quantitative Research	Deep Learning Researcher - Intern @ New York	Type=Intern; URL=https://job-boards.greenhouse.io/sevenresearch/jobs/4895007008
Quantitative Research	Quantitative Researcher - Intern @ New York	Type=Intern; URL=https://job-boards.greenhouse.io/sevenresearch/jobs/4894946008
