# sections
Emerging Talent - Tech
Emerging Talent - Trading
# rows
Emerging Talent - Tech	Graduate Developer Programme Chicago 2027 @ Chicago	URL=https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/8048802
Emerging Talent - Trading	Graduate Quant Researcher 2027 - Chicago @ Chicago	URL=https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/8048830
Emerging Talent - Trading	Graduate Trader Program Chicago 2027 @ Chicago	URL=https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/8051635
Emerging Talent - Trading	Trader Summer Internship Chicago 2027 @ Chicago	URL=https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/8051937
