# sections
Operations
Software
# rows
Operations	Operations Associate (University Hire) @ Berkeley, CA	Type=FullTime; URL=https://jobs.ashbyhq.com/voleon/6953e829-c69d-43dc-9b39-49ab1b487b2d
Software	Software Engineer - University Hire 2027 @ Berkeley, CA	Type=FullTime; URL=https://jobs.ashbyhq.com/voleon/d732fd5a-ac98-4985-9e60-d1d59f02a66c
Software	Software Engineer Intern - (Summer 2027) @ Berkeley, CA	Type=Contract; URL=https://jobs.ashbyhq.com/voleon/57f1b666-2f4b-4bad-aac0-fa42a1c8fdf6
