change_id,source_id,company,position,url,deadline,class_year,location,first_pinned,last_seen
c577020ad8fe,zshah-2027,Thrivent / Associate Software Engineer - Sophomore Intern Summer 2027,@ Remote-Minnesota,https://thrivent.wd5.myworkdayjobs.com/external/job/Remote-Minnesota/Associate-Software-Engineer---Sophomore-Intern-Summer-2027_REQ-48457,,Sophomore Intern Summer 2027,Remote-Minnesota,2026-09-20,2026-09-24
b7f190d2b472,simplify-2027,GE Healthcare,"Software Engineer Intern @ Salt Lake City, UT",https://simplify.jobs/p/7d669b5f-60d8-41f2-8c63-353b9b7240a7,,"""At least sophomore standing""; ""Sophomore year minimum""","Salt Lake City, UT, USA",2026-09-22,2026-09-24
bf942f124886,simplify-2027,Charter Manufacturing,"Digital Integration Intern @ Mequon, WI",https://simplify.jobs/p/6a018490-0c94-49df-9ad0-bfecd8fdad21,,"""current academic standing of at least Sophomore level""","Mequon, WI, USA",2026-09-23,2026-09-24
